Timestamp,marketprice
2019-05-05 00:00:00,5771.08
2019-05-06 00:00:00,5717.66
2019-05-07 00:00:00,5684.47
2019-05-08 00:00:00,5755.72
2019-05-09 00:00:00,5936.72
2019-05-10 00:00:00,6146.91
2019-05-11 00:00:00,6348.02
2019-05-12 00:00:00,7248.31
2019-05-13 00:00:00,6978.63
2019-05-14 00:00:00,7823.11
2019-05-15 00:00:00,7992.69
2019-05-16 00:00:00,8206.9
2019-05-17 00:00:00,7885.96
2019-05-18 00:00:00,7362.22
2019-05-19 00:00:00,7265.05
2019-05-20 00:00:00,8193.7
2019-05-21 00:00:00,8007.03
2019-05-22 00:00:00,7952.5
2019-05-23 00:00:00,7625.93
2019-05-24 00:00:00,7880.29
2019-05-25 00:00:00,8003.26
2019-05-26 00:00:00,8071.45
2019-05-27 00:00:00,8744.42
2019-05-28 00:00:00,8770.06
2019-05-29 00:00:00,8719.88
2019-05-30 00:00:00,8662.98
2019-05-31 00:00:00,8272.46
2019-06-01 00:00:00,8553.81
2019-06-02 00:00:00,8554.8
2019-06-03 00:00:00,8739.03
2019-06-04 00:00:00,8134.92
2019-06-05 00:00:00,7675.8
2019-06-06 00:00:00,7786.04
2019-06-07 00:00:00,7803.23
2019-06-08 00:00:00,7998.29
2019-06-09 00:00:00,7931.34
2019-06-10 00:00:00,7640.61
2019-06-11 00:00:00,8020.38
2019-06-12 00:00:00,7917.58
2019-06-13 00:00:00,8173.06
2019-06-14 00:00:00,8237.88
2019-06-15 00:00:00,8693.6
2019-06-16 00:00:00,8859.47
2019-06-17 00:00:00,8978.99
2019-06-18 00:00:00,9327.48
2019-06-19 00:00:00,9076.18
2019-06-20 00:00:00,9281.7
2019-06-21 00:00:00,9531.35
2019-06-22 00:00:00,10209.38
2019-06-23 00:00:00,10668.63
2019-06-24 00:00:00,10814.48
2019-06-25 00:00:00,11017.5
2019-06-26 00:00:00,11766.4
2019-06-27 00:00:00,12932.55
2019-06-28 00:00:00,11132.85
2019-06-29 00:00:00,12374.35
2019-06-30 00:00:00,11890.38
2019-07-01 00:00:00,10737.73
2019-07-02 00:00:00,10578.72
2019-07-03 00:00:00,10805.4
2019-07-04 00:00:00,11984.76
2019-07-05 00:00:00,11160.49
2019-07-06 00:00:00,10955.16
2019-07-07 00:00:00,11232.04
2019-07-08 00:00:00,11477.01
2019-07-09 00:00:00,12313.08
2019-07-10 00:00:00,12586.78
2019-07-11 00:00:00,12099.9
2019-07-12 00:00:00,11352.87
2019-07-13 00:00:00,11803.97
2019-07-14 00:00:00,11389.1
2019-07-15 00:00:00,10186.96
2019-07-16 00:00:00,10873.5
2019-07-17 00:00:00,9397.72
2019-07-18 00:00:00,9674.28
2019-07-19 00:00:00,10638.56
2019-07-20 00:00:00,10535.75
2019-07-21 00:00:00,10764.9
2019-07-22 00:00:00,10587.41
2019-07-23 00:00:00,10323.62
2019-07-24 00:00:00,9844.3
2019-07-25 00:00:00,9772.17
2019-07-26 00:00:00,9875.17
2019-07-27 00:00:00,9848.65
2019-07-28 00:00:00,9473.99
2019-07-29 00:00:00,9530
2019-07-30 00:00:00,9501.33
2019-07-31 00:00:00,9589.13
2019-08-01 00:00:00,10084.7
2019-08-02 00:00:00,10407.17
2019-08-03 00:00:00,10529.55
2019-08-04 00:00:00,10814.57
2019-08-05 00:00:00,10980.23
2019-08-06 00:00:00,11787.99
2019-08-07 00:00:00,11465.67
2019-08-08 00:00:00,11960.82
2019-08-09 00:00:00,11996.41
2019-08-10 00:00:00,11856.64
2019-08-11 00:00:00,11282.22
2019-08-12 00:00:00,11566.84
2019-08-13 00:00:00,11386.26
2019-08-14 00:00:00,10858.12
2019-08-15 00:00:00,10016.96
2019-08-16 00:00:00,10302.17
2019-08-17 00:00:00,10359.44
2019-08-18 00:00:00,10214.52
2019-08-19 00:00:00,10317.6
2019-08-20 00:00:00,10917.26
2019-08-21 00:00:00,10760.56
2019-08-22 00:00:00,10129.4
2019-08-23 00:00:00,10111.98
2019-08-24 00:00:00,10405.81
2019-08-25 00:00:00,10143.8
2019-08-26 00:00:00,10135.06
2019-08-27 00:00:00,10360.28
2019-08-28 00:00:00,10171.95
2019-08-29 00:00:00,9717.82
2019-08-30 00:00:00,9484.55
2019-08-31 00:00:00,9577.99
2019-09-01 00:00:00,9600.9
2019-09-02 00:00:00,9769.79
2019-09-03 00:00:00,10386.64
2019-09-04 00:00:00,10621.29
2019-09-05 00:00:00,10584.16
2019-09-06 00:00:00,10577.8
2019-09-07 00:00:00,10317.47
2019-09-08 00:00:00,10487.21
2019-09-09 00:00:00,10406.31
2019-09-10 00:00:00,10313.66
2019-09-11 00:00:00,10101.03
2019-09-12 00:00:00,10159.32
2019-09-13 00:00:00,10420.16
2019-09-14 00:00:00,10363.9
2019-09-15 00:00:00,10361.33
